deltatheta [deg],Rf,L,L/Rf,phiCZ [deg],G0,GI/G0,GII/G0,GTOT/G0,GIv2/G0,GIIv2/G0,GTOTv2/G0,GTOTequiv/G0,GI,GII,GTOT,GIv2,GIIv2,GTOTv2,GTOTequiv,np.min(uR),np.max(uR),np.mean(uR),np.min(uTheta),np.max(uTheta),np.mean(uTheta),phiSZ [deg],xRFcracktip,yRFcracktip,xRFfirstbounded,yRFfirstbounded,rRFcracktip,thetaRFcracktip,rRFfirstbounded,thetaRFfirstbounded,xcracktipDisplacement,ycracktipDisplacement,rcracktipDisplacement,thetacracktipDisplacement,xfirstboundedDisplacement,yfirstboundedDisplacement,rfirstboundedDisplacement,thetafirstboundedDisplacement,xfiberCracktipDisplacement,yfiberCracktipDisplacement,rfiberCracktipDisplacement,thetafiberCracktipDisplacement,xfiberFirstboundedDisplacement,yfiberFirstboundedDisplacement,rfiberFirstboundedDisplacement,thetafiberFirstboundedDisplacement,xmatrixracktipDisplacement,ymatrixCracktipDisplacement,rmatrixCracktipDisplacement,thetamatrixCracktipDisplacement,xmatrixFirstboundedDisplacement,ymatrixFirstboundedDisplacement,rmatrixFirstboundedDisplacement,thetamatrixFirstboundedDisplacement
10.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.6617935473078314, 0.7592292206051385, 4.421022767912969, 3.6587707793948616, 0.7592292206051385, 4.418, 4.421022968016168, 3.6617935473078314, 0.7592292206051385, 4.421022767912969, 3.6587707793948616, 0.7592292206051385, 4.418, 4.421022968016168, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.000000562866568, 2.490874, -0.9447375, 1.7680515, -0.28131452, 2.28898, -1.3629205, 1.6923411, -0.58405966, 0.0020027508, -0.00045950228, 0.0018925327, -0.00080029544, 0.001267892, -0.00018389727, 0.0012166965, -0.00040127058, 0.0018268698, -0.00060444727, 0.0016941542, -0.000912497, 0.0018666215, -0.0006147737, 0.001731509, -0.00092956936, 0.0038296205, -0.0010639495, 0.003586687, -0.0017127924, 0.0031345135, -0.000798671, 0.0029482055, -0.0013308399
20.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.960285620642082, 1.7678697356641684, 5.72815535630625, 3.9531302643358317, 1.7678697356641684, 5.721, 5.728155756512647, 3.960285620642082, 1.7678697356641684, 5.72815535630625, 3.9531302643358317, 1.7678697356641684, 5.721, 5.728155756512647, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.000001125733135, 2.9555962, -1.1831241, 1.9366026, -0.096899085, 2.3726995, -2.1226463, 1.7866696, -0.7534124, 0.002269656, -0.00048275723, 0.0019676662, -0.0012299115, 0.0013954297, -0.00016281637, 0.0012555885, -0.0006302624, -0.001313404, -0.0010276652, -0.0015856782, -0.0005164788, -0.0012666447, -0.0010404097, -0.0015460977, -0.00054444734, 0.00095625187, -0.0015104224, 0.0003819879, -0.0017463902, 0.00012878506, -0.001203226, -0.0002905092, -0.0011747098
30.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.253502714610187, 2.997737476598333, 6.25124019120852, 3.242262523401667, 2.997737476598333, 6.24, 6.251240991621314, 3.253502714610187, 2.997737476598333, 6.25124019120852, 3.242262523401667, 2.997737476598333, 6.24, 6.251240991621314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000000834826057, 3.2550676, -1.3551157, 1.8651832, 0.078098714, 2.1414132, -2.8010983, 1.6543454, -0.86495614, 0.0023481578, -0.0005029588, 0.0017820846, -0.0016096539, 0.0013929417, -0.00016129704, 0.0011256742, -0.0008361582, -0.0052036303, -0.0013184008, -0.005165676, 0.0014600465, -0.00515276, -0.0013330865, -0.0051289643, 0.0014218932, -0.0028554725, -0.0018213596, -0.0033835915, -0.00014960743, -0.0037598184, -0.0014943836, -0.00400329, 0.0005857351
40.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.441058916552311, 4.732260281063368, 7.17331919761568, 2.422739718936632, 4.732260281063368, 7.155, 7.17331919761568, 2.441058916552311, 4.732260281063368, 7.17331919761568, 2.422739718936632, 4.732260281063368, 7.155, 7.17331919761568, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.00000225146627, 3.6964557, -1.5377024, 1.76429, 0.19822389, 1.8432331, -3.5539842, 1.4789404, -0.9822155, 0.002485706, -0.0005639219, 0.0015416788, -0.0020297705, 0.0014191372, -0.00019882363, 0.0009593209, -0.0010645117, -0.008305607, -0.0017453076, -0.007484326, 0.004001759, -0.008248382, -0.0017622726, -0.0074513946, 0.003951979, -0.0058199014, -0.0023092295, -0.0059426473, 0.0019719885, -0.006829245, -0.0019610962, -0.0064920736, 0.0028874672
50.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.3042709125538174, 6.308099114810497, 7.612370027364314, 1.2799008851895035, 6.308099114810497, 7.588, 7.612370160766446, 1.3042709125538174, 6.308099114810497, 7.612370027364314, 1.2799008851895035, 6.308099114810497, 7.588, 7.612370160766446, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0000002530119, 4.025187, -1.6377724, 1.5301446, 0.20954879, 1.3327339, -4.136212, 1.1440817, -1.0374633, 0.0025231782, -0.0006493337, 0.00112445, -0.0023502498, 0.0013884539, -0.0002775865, 0.00067983754, -0.0012420472, -0.012319684, -0.0020478156, -0.009487659, 0.008121114, -0.012257862, -0.002066349, -0.009462117, 0.008061844, -0.009796506, -0.0026971493, -0.008363209, 0.0057708644, -0.010869408, -0.0023439354, -0.00878228, 0.0068197967
60.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.46070389678943, 6.90064844099525, 7.36135233778468, 0.4333515590047492, 6.90064844099525, 7.334, 7.36135430546613, 0.46070389678943, 6.90064844099525, 7.36135233778468, 0.4333515590047492, 6.90064844099525, 7.334, 7.36135430546613, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.000001669652114, 4.1555567, -1.5044175, 1.2544267, 0.15201758, 0.77491426, -4.3510265, 0.7588644, -1.0103567, 0.0024672411, -0.0006545009, 0.00066680554, -0.0024639433, 0.0013235342, -0.00032688666, 0.00037867483, -0.0013096575, -0.017683556, -0.0019283725, -0.010511797, 0.014350223, -0.017620333, -0.0019452932, -0.0104948385, 0.01428701, -0.015216315, -0.0025828735, -0.009844991, 0.01188628, -0.016296798, -0.0022721798, -0.010116164, 0.012977352
70.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.0007942000840993806, 11.29723534003864, 11.298029540122739, -0.06723534003863918, 11.29723534003864, 11.23, 11.298037887266116, 0.0007942000840993806, 11.29723534003864, 11.298029540122739, -0.06723534003863918, 11.29723534003864, 11.23, 11.298037887266116, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.99999967119774, 5.286272, -1.8781703, 1.2046161, -0.17308009, 0.04310882, -5.609843, 0.2493609, -1.1911657, 0.0029781777, -0.0010454794, 3.6167912e-05, -0.0031561442, 0.0015869383, -0.0005783371, -6.938353e-07, -0.0016890373, -0.023916578, -0.0024076407, -0.010442394, 0.021650769, -0.023835821, -0.002432765, -0.010438383, 0.02156629, -0.0209384, -0.0034531201, -0.010406226, 0.018494625, -0.022248883, -0.003011102, -0.010439076, 0.019877253
80.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.00023003435726108993, 15.352209794135312, 15.352439828492573, -0.05220979413531168, 15.352209794135312, 15.3, 15.352438178585684, 0.00023003435726108993, 15.352209794135312, 15.352439828492573, -0.05220979413531168, 15.352209794135312, 15.3, 15.352438178585684, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.99999767274336, 6.427036, -1.2506527, 1.386536, -0.2645263, -0.11560905, -6.546568, -0.019738033, -1.4114059, 0.0036132075, -0.0006404978, -3.340654e-06, -0.0036695376, 0.0019338802, -0.00034178095, -7.7392906e-07, -0.0019638464, -0.033990562, -0.00202786, -0.007899453, 0.033122037, -0.033889625, -0.0020423909, -0.007896235, 0.033020105, -0.030377354, -0.0026683577, -0.007902794, 0.029452499, -0.031955745, -0.0023841718, -0.007897009, 0.031056259
90.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.00012963192611628713, 12.511474354171773, 12.511603986097889, -0.04147435417177192, 12.511474354171773, 12.47, 12.511603487435767, 0.00012963192611628713, 12.511474354171773, 12.511603986097889, -0.04147435417177192, 12.511474354171773, 12.47, 12.511603487435767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.00000250447816, 5.9110346, -0.09285966, 1.2690227, 0.0064852173, -0.092859924, -5.9110346, 0.006485162, -1.2690227, 0.0033136085, -2.487097e-06, -2.4872716e-06, -0.0033136085, 0.0017728508, -7.273047e-07, -7.2742114e-07, -0.0017728508, -0.044835523, -0.00053190906, -0.0005319071, 0.044835523, -0.04474428, -0.0005272688, -0.0005272668, 0.04474428, -0.041521914, -0.00053439615, -0.00053439435, 0.041521914, -0.04297143, -0.0005279961, -0.00052799424, 0.04297143
100.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.00021422548807685412, 12.920620828145518, 12.920835053633596, -0.04062082814551715, 12.920620828145518, 12.88, 12.920817196084156, 0.00021422548807685412, 12.920620828145518, 12.920835053633596, -0.04062082814551715, 12.920620828145518, 12.88, 12.920817196084156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0000005060238, 5.9337134, 0.92621344, 1.2760891, 0.18286142, -0.11823642, -6.004402, -0.04150723, -1.288456, 0.0033182502, 0.0005821692, -2.8833747e-06, -0.0033689365, 0.0017751381, 0.00031219807, -7.9441816e-07, -0.0018023811, -0.06506356, -0.00038060432, 0.010923347, 0.06414119, -0.06497355, -0.0003609681, 0.010927055, 0.06404913, -0.06174531, 0.0002015649, 0.010920464, 0.060772255, -0.06319841, -4.877003e-05, 0.010926261, 0.06224675
110.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.00012492373626354298, 6.499513565474517, 6.499638489210781, -0.01951356547451688, 6.499513565474517, 6.48, 6.499612283052365, 0.00012492373626354298, 6.499513565474517, 6.499638489210781, -0.01951356547451688, 6.499513565474517, 6.48, 6.499612283052365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109.99999850756943, 4.0355635, 1.3651859, 0.87633246, 0.25907597, -0.09738886, -4.25911, -0.056271553, -0.9120924, 0.002246201, 0.00081549014, -1.9352883e-06, -0.002389662, 0.0012014136, 0.00043672085, -5.2526593e-07, -0.0012783334, -0.07753748, -0.00028211784, 0.026254272, 0.07295789, -0.077477224, -0.0002567224, 0.02625753, 0.072892584, -0.075291276, 0.00053337234, 0.026252337, 0.07056823, -0.07627581, 0.00017999845, 0.026257005, 0.07161425
120.0, 1.0, 1.144, 1.144, 0.0, 1.0, 7.543967114294047e-05, 3.273613086043379, 3.273688525714522, -0.009613086043379404, 3.273613086043379, 3.264, 3.2736928605184508, 7.543967114294047e-05, 3.273613086043379, 3.273688525714522, -0.009613086043379404, 3.273613086043379, 3.264, 3.2736928605184508, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 120.00000333930423, 2.653886, 1.4477509, 0.5851089, 0.28218576, -0.07315409, -3.0222082, -0.048174426, -0.647812, 0.0014695823, 0.00084668567, -1.5422702e-06, -0.0016960353, 0.0007859394, 0.0004533104, -3.9115548e-07, -0.0009073019, -0.085130654, -4.0879397e-05, 0.04252993, 0.07374574, -0.08509188, -1.5482472e-05, 0.042532537, 0.073699474, -0.08366107, 0.00080580625, 0.042528387, 0.07204971, -0.08430594, 0.00043782793, 0.042532146, 0.07279217
