Entity,Code,Year,Transport (%),Electricity and heat production (%),Manufacturing industries & construction (%),Other sectors (%),Residential buildings & commercial and public services (%)
Cuba,CUB,2000,7.93708851499634,39.9780541331383,40.1243599122165,7.93708851499634,4.05998536942209
Cuba,CUB,2001,8.35222978080121,36.432350718065,44.2932728647014,7.1806500377929,3.74149659863946
Cuba,CUB,2002,8.16164817749604,50.9508716323296,31.0221870047544,6.49762282091918,3.32805071315372
Cuba,CUB,2003,7.71428571428571,54.8979591836735,23.0612244897959,9.91836734693877,4.40816326530612
Cuba,CUB,2004,8.13377374071016,54.7894302229562,20.4789430222956,9.7027250206441,6.9364161849711
Cuba,CUB,2005,7.62475049900199,52.2155688622755,25.189620758483,9.50099800399202,5.4690618762475
Cuba,CUB,2006,7.19339622641509,51.4150943396226,30.3459119496855,7.7437106918239,3.30188679245283
Cuba,CUB,2007,7.03154694032687,51.4633219308248,30.9388065374382,8.24781451919422,2.35651843405549
Cuba,CUB,2008,7.14566156262269,54.416961130742,27.875932469572,7.97016097369454,2.59128386336867
Cuba,CUB,2009,4.8073644732356,48.9942038868053,34.6062052505967,9.37606546198432,2.18206614387999
Cuba,CUB,2010,3.8249694002448,49.7246022031824,34.2717258261934,10.31211750306,1.89718482252142
Cuba,CUB,2011,4.09808532079274,51.4612025529056,32.2808196170642,9.94289553241518,2.18340611353712
Cuba,CUB,2012,4.16120576671035,51.9003931847969,31.5530799475754,10.2228047182176,2.09698558322412
Cuba,CUB,2013,4.21481985044188,53.0931339225017,30.0475866757308,10.5030591434398,2.17539089055065
Cuba,CUB,2014,4.27843803056027,52.8013582342954,29.8811544991511,10.8319185059423,2.17317487266553
Curacao,CUW,1971,10.3376981392143,55.065472088215,31.9779462439697,0,2.61888352860097
Curacao,CUW,1972,10.5598866052445,55.0673281360737,32.1757618710135,0,2.12615166548547
Curacao,CUW,1973,8.78205128205128,56.5384615384615,32.6282051282051,0,1.98717948717949
Curacao,CUW,1974,8.85269121813031,56.0198300283286,33.0028328611898,0,2.12464589235127
Curacao,CUW,1975,11.4818449460255,53.9744847890088,31.6977428851816,0,2.94406280667321
Curacao,CUW,1976,12.5461254612546,51.9372693726937,32.7490774907749,0,2.85977859778598
Curacao,CUW,1977,12.6593806921676,51.8214936247723,32.695810564663,0,2.9143897996357
Curacao,CUW,1978,18.1229773462783,60.8414239482201,17.7993527508091,0,3.34412081984898
Curacao,CUW,1979,16.8845315904139,58.1699346405229,21.1328976034858,0,3.92156862745098
Curacao,CUW,1980,17.8777393310265,65.1672433679354,12.6874279123414,0,4.26758938869665
Curacao,CUW,1981,17.910447761194,62.4378109452736,14.8009950248756,0,4.72636815920398
Curacao,CUW,1982,18.5185185185185,60.7681755829904,16.0493827160494,0,4.6639231824417
Curacao,CUW,1983,19.941348973607,57.624633431085,17.5953079178886,0,4.69208211143695
Curacao,CUW,1984,18.98355754858,59.9402092675635,16.7414050822123,0,4.18535127055306
Curacao,CUW,1985,24.6666666666667,45.3333333333333,23.7777777777778,0,6
Curacao,CUW,1986,21.2121212121212,48.7179487179487,23.7762237762238,0,6.29370629370629
Curacao,CUW,1987,24.2424242424242,46.2121212121212,24.4949494949495,0,5.3030303030303
Curacao,CUW,1988,28.6127167630058,43.6416184971098,23.121387283237,0,4.6242774566474
Curacao,CUW,1989,30.8474576271186,41.0169491525424,22.0338983050847,0,6.10169491525424
Curacao,CUW,1990,33.8345864661654,37.9699248120301,20.3007518796992,0,7.89473684210526
Curacao,CUW,1991,36.231884057971,36.9565217391304,19.5652173913044,0,7.60869565217391
Curacao,CUW,1992,37.7622377622378,34.965034965035,18.8811188811189,0,8.04195804195804
Curacao,CUW,1993,36.6379310344828,34.4827586206897,18.5344827586207,0,11.2068965517241
Curacao,CUW,1994,43.3460076045627,30.4182509505703,16.3498098859316,0,10.2661596958175
Curacao,CUW,1995,43.3460076045627,30.0380228136882,15.9695817490494,0,10.2661596958175
Curacao,CUW,1996,43.2330827067669,29.6992481203008,16.1654135338346,0,10.5263157894737
Curacao,CUW,1997,22.8136882129278,65.3992395437263,8.36501901140685,0,3.2319391634981
Curacao,CUW,1998,23.0202578268877,65.377532228361,8.47145488029466,0,3.13075506445672
Curacao,CUW,1999,24.30426716141,63.821892393321,8.90538033395176,0,3.15398886827458
Curacao,CUW,2000,24.2424242424242,63.8146167557932,8.9126559714795,0,3.03030303030303
Curacao,CUW,2001,24.4718309859155,63.3802816901408,8.97887323943662,0,2.99295774647887
Curacao,CUW,2002,25.5985267034991,61.6942909760589,9.39226519337017,0,3.31491712707182
Curacao,CUW,2003,25.5514705882353,61.5808823529412,9.375,0,3.30882352941176
Curacao,CUW,2004,25,62.5,9.33098591549296,0,3.16901408450704
Curacao,CUW,2005,24.2070116861436,63.7729549248748,9.01502504173623,0,3.00500834724541
Curacao,CUW,2006,25.4668930390492,61.9694397283531,9.33786078098472,0,3.05602716468591
Curacao,CUW,2007,24.375,63.75,9.0625,0,2.8125
Curacao,CUW,2008,25.1184834123223,62.7172195892575,9.32069510268562,0,2.8436018957346
Curacao,CUW,2009,25.8010118043845,61.5514333895447,9.44350758853288,0,3.035413153457
Curacao,CUW,2010,35.6164383561644,47.0319634703196,13.2420091324201,0,4.337899543379
Curacao,CUW,2011,28.5454545454545,57.2727272727273,10.5454545454545,0,3.45454545454545
Curacao,CUW,2012,23.3480176211454,65.1982378854625,8.59030837004405,0,2.86343612334802
Curacao,CUW,2013,24.2630385487528,64.172335600907,8.84353741496599,0,2.94784580498866
Curacao,CUW,2014,22.9473684210526,65.6842105263158,8.42105263157895,0,2.73684210526316
Cyprus,CYP,1971,34.4827586206897,36.7816091954023,22.4137931034483,0,6.32183908045977
Cyprus,CYP,1972,30.4147465437788,39.63133640553,23.963133640553,0,5.52995391705069
Cyprus,CYP,1973,32.5991189427313,39.647577092511,22.4669603524229,0,5.2863436123348
Cyprus,CYP,1974,31.2138728323699,43.9306358381503,18.4971098265896,0,5.78034682080925
Cyprus,CYP,1975,26.5060240963855,42.1686746987952,25.3012048192771,0,6.02409638554217
Cyprus,CYP,1976,24.2268041237113,40.2061855670103,29.3814432989691,0,5.67010309278351
Cyprus,CYP,1977,24.1706161137441,39.8104265402844,30.3317535545024,0,5.21327014218009
Cyprus,CYP,1978,25.5605381165919,39.9103139013453,29.1479820627803,0,4.93273542600897
Cyprus,CYP,1979,24.6913580246914,40.3292181069959,30.4526748971193,0,4.93827160493827
Cyprus,CYP,1980,24.124513618677,40.0778210116732,30.7392996108949,0,5.05836575875486
Cyprus,CYP,1981,24.5059288537549,43.8735177865613,26.4822134387352,0,5.13833992094862
Cyprus,CYP,1982,25.2918287937743,44.3579766536965,24.9027237354086,0,5.05836575875486
Cyprus,CYP,1983,27.0992366412214,43.1297709923664,24.4274809160305,0,5.34351145038168
Cyprus,CYP,1984,27.7372262773723,41.6058394160584,25.1824817518248,0,5.10948905109489
Cyprus,CYP,1985,28.9855072463768,42.7536231884058,23.5507246376812,0,5.07246376811594
Cyprus,CYP,1986,27.7227722772277,41.2541254125413,26.0726072607261,0,4.95049504950495
Cyprus,CYP,1987,25.6267409470752,41.7827298050139,28.4122562674095,0,4.45682451253482
Cyprus,CYP,1988,26.3013698630137,40.2739726027397,28.7671232876712,0,4.38356164383562
Cyprus,CYP,1989,27.0341207349081,43.3070866141732,25.7217847769029,0,4.1994750656168
Cyprus,CYP,1990,29.8200514138817,45.2442159383033,20.3084832904884,0,4.62724935732648
Cyprus,CYP,1991,26.1261261261261,41.2162162162162,29.0540540540541,0,4.05405405405405
Cyprus,CYP,1992,27.3684210526316,44.6315789473684,23.3684210526316,0,4.42105263157895
Cyprus,CYP,1993,26.7206477732793,45.5465587044534,23.8866396761134,0,4.04858299595142
Cyprus,CYP,1994,26.6536964980545,46.1089494163424,23.5408560311284,0,3.89105058365759
Cyprus,CYP,1995,28.9108910891089,42.7722772277228,24.3564356435644,0,3.96039603960396
Cyprus,CYP,1996,28.2242990654206,42.4299065420561,25.4205607476636,0,3.73831775700935
Cyprus,CYP,1997,28.7020109689214,44.0585009140768,23.400365630713,0,3.83912248628885
Cyprus,CYP,1998,28.3993115318417,45.4388984509466,22.5473321858864,0,3.6144578313253
Cyprus,CYP,1999,27.8418451400329,46.6227347611203,22.2405271828666,0,3.29489291598023
Cyprus,CYP,2000,27.4603174603175,46.8253968253968,22.0634920634921,0,3.65079365079365
Cyprus,CYP,2001,28.9176090468498,45.8804523424879,21.486268174475,0,3.7156704361874
Cyprus,CYP,2002,27.9179810725552,47.3186119873817,20.820189274448,0,3.94321766561514
Cyprus,CYP,2003,26.7806267806268,50.1424501424501,19.3732193732194,0,3.7037037037037
Cyprus,CYP,2004,28.6541244573082,47.9015918958032,20.1157742402315,0,3.47322720694645
Cyprus,CYP,2005,28.6524822695035,49.5035460992908,14.1843971631206,1.13475177304965,6.52482269503546
Cyprus,CYP,2006,28.1293952180028,50.070323488045,12.3769338959212,1.54711673699015,7.87623066104079
Cyprus,CYP,2007,28.8409703504043,50.4043126684636,12.1293800539084,1.61725067385445,7.14285714285714
Cyprus,CYP,2008,28.7598944591029,51.3192612137203,11.6094986807388,1.58311345646438,6.59630606860158
Cyprus,CYP,2009,29.0666666666667,52.4,10.1333333333333,1.33333333333333,7.06666666666667
Cyprus,CYP,2010,30.7162534435262,52.2038567493113,9.22865013774105,1.2396694214876,6.61157024793388
Cyprus,CYP,2011,30.8571428571429,52.1428571428571,8,1.57142857142857,7.42857142857143
Cyprus,CYP,2012,30.568356374808,53.1490015360983,7.06605222734255,1.53609831029186,7.68049155145929
Cyprus,CYP,2013,31.8505338078292,49.288256227758,9.6085409252669,1.77935943060498,7.47330960854093
Cyprus,CYP,2014,30.3819444444444,50,11.6319444444444,1.73611111111111,6.42361111111111
Czech Republic,CZE,1971,3.53584684508693,24.0411538711988,45.5622843003191,5.04004688415706,21.8206680992381
Czech Republic,CZE,1972,3.73090289161367,26.1950036063209,44.3839748213232,4.91115336699233,20.7789653137499
Czech Republic,CZE,1973,4.08190578158458,27.8372591006424,43.9574411134904,4.94512847965739,19.171573875803
Czech Republic,CZE,1974,3.87022952143771,28.6868142962913,45.1908191424918,4.97408628929125,17.278050750488
Czech Republic,CZE,1975,4.15968012382304,29.3370308267767,43.6540693924932,5.3269702050819,17.5286985682961
Czech Republic,CZE,1976,4.3271635817909,30.0462731365683,42.8026513256628,5.17133566783392,17.6525762881441
Czech Republic,CZE,1977,4.29675972377973,29.764504515139,43.0148143776191,5.24700466269256,17.6828188632474
Czech Republic,CZE,1978,4.3218085106383,32.0841392649903,40.8667794970986,5.57906189555126,17.1482108317215
Czech Republic,CZE,1979,4.17690417690418,28.5126564196332,43.3746643048969,5.10827952688418,18.8217816124793
Czech Republic,CZE,1980,3.81320642474717,34.0273646638905,41.0410469958358,5.09815585960738,16.0202260559191
Czech Republic,CZE,1981,4.27309903395958,34.6411426539442,39.7321163989806,5.06134060333077,16.2863746814437
Czech Republic,CZE,1982,3.55892648774796,35.5659276546091,40.950991831972,4.69661610268378,15.2217036172695
Czech Republic,CZE,1983,3.59170432163133,35.2044954234735,40.3950874753794,4.70976711852624,16.0873595180165
Czech Republic,CZE,1984,3.74786081003993,34.9115801483172,39.9714774671991,4.71762692527096,16.6514546491728
Czech Republic,CZE,1985,3.67160775370582,33.9566704675029,40.5872291904219,3.92246294184721,17.8620296465222
Czech Republic,CZE,1986,3.62599771949829,33.2440136830103,40.7867730900798,3.98517673888255,18.3580387685291
Czech Republic,CZE,1987,3.66130129222399,30.6959873044661,41.6232146905464,4.04670142824756,19.972795284516
Czech Republic,CZE,1988,3.78634603156252,31.1578703971328,41.366552979941,3.95976646048905,19.7352448118388
Czech Republic,CZE,1989,4.15256286266925,34.1634429400387,40.1293520309478,3.74758220502902,17.8131044487427
Czech Republic,CZE,1990,4.62346993081426,45.0505588078765,31.060404470463,3.80521554018095,15.4670037253858
Czech Republic,CZE,1991,4.50299226390308,48.4381842066851,27.0471464019851,3.78776820902058,16.2093125091228
