deltatheta,Rf,L,L/Rf,phiCZ [deg],G0,GI/G0,GII/G0,GTOT/G0,GIv2/G0,GIIv2/G0,GTOTv2/G0,GTOTequiv/G0,GI,GII,GTOT,GIv2,GIIv2,GTOTv2,GTOTequiv,np.min(uR),np.max(uR),np.mean(uR),np.min(uTheta),np.max(uTheta),np.mean(uTheta),phiSZ [deg],xRFcracktip,yRFcracktip,xRFfirstbounded,yRFfirstbounded,rRFcracktip,thetaRFcracktip,rRFfirstbounded,thetaRFfirstbounded,xcracktipDisplacement,ycracktipDisplacement,rcracktipDisplacement,thetacracktipDisplacement,xfirstboundedDisplacement,yfirstboundedDisplacement,rfirstboundedDisplacement,thetafirstboundedDisplacement,xfiberCracktipDisplacement,yfiberCracktipDisplacement,rfiberCracktipDisplacement,thetafiberCracktipDisplacement,xfiberFirstboundedDisplacement,yfiberFirstboundedDisplacement,rfiberFirstboundedDisplacement,thetafiberFirstboundedDisplacement,xmatrixracktipDisplacement,ymatrixCracktipDisplacement,rmatrixCracktipDisplacement,thetamatrixCracktipDisplacement,xmatrixFirstboundedDisplacement,ymatrixFirstboundedDisplacement,rmatrixFirstboundedDisplacement,thetamatrixFirstboundedDisplacement
10.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.6280865637538184, 0.7542556556103924, 4.382342219364211, 3.6247443443896072, 0.7542556556103924, 4.379, 4.382342486168475, 3.6280865637538184, 0.7542556556103924, 4.382342219364211, 3.6247443443896072, 0.7542556556103924, 4.379, 4.382342486168475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.000000562866568, 2.4796977, -0.9422867, 1.7600332, -0.2804097, 2.278399, -1.3585663, 1.6846018, -0.58177626, 0.0019937016, -0.00045845093, 0.0018838034, -0.0007976887, 0.0012621186, -0.00018362654, 0.0012110575, -0.00040000153, 0.0018309683, -0.0006038559, 0.0016982933, -0.0009126263, 0.0018705388, -0.000614168, 0.001735472, -0.00092965306, 0.0038246699, -0.0010623068, 0.0035820967, -0.001710315, 0.0031326574, -0.00079779455, 0.0029465295, -0.0013296546
20.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.8226807876415974, 1.7299168290456406, 5.552597616687238, 3.81608317095436, 1.7299168290456406, 5.546, 5.552597483285106, 3.8226807876415974, 1.7299168290456406, 5.552597616687238, 3.81608317095436, 1.7299168290456406, 5.546, 5.552597483285106, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.000001125733135, 2.9087505, -1.1764722, 1.9042691, -0.09794529, 2.3309543, -2.1003735, 1.7559284, -0.74333686, 0.002232736, -0.00048219552, 0.0019331648, -0.0012167562, 0.0013723171, -0.00016426342, 0.0012333748, -0.0006237171, -0.001298444, -0.0010228404, -0.0015699703, -0.00051706156, -0.001252434, -0.0010355819, -0.0015310929, -0.0005447711, 0.00093429186, -0.0015050359, 0.0003631945, -0.0017338177, 0.00011988306, -0.0011998453, -0.00029771807, -0.0011684882
30.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.022360308556229, 2.892342855228276, 5.914703163784505, 3.011657144771724, 2.892342855228276, 5.904, 5.914703697393034, 3.022360308556229, 2.892342855228276, 5.914703163784505, 3.011657144771724, 2.892342855228276, 5.904, 5.914703697393034, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000000834826057, 3.16346, -1.3524935, 1.80508, 0.066697136, 2.0633898, -2.7530236, 1.5965937, -0.8447786, 0.0022781533, -0.00051078026, 0.0017175484, -0.0015814253, 0.0013499418, -0.00016974949, 0.0010842094, -0.0008219783, -0.0050532008, -0.001314694, -0.005033547, 0.001388042, -0.0050037666, -0.0013295418, -0.00499816, 0.0013504664, -0.0027750474, -0.0018254742, -0.0033159987, -0.00019338331, -0.0036538248, -0.0014992913, -0.0039139506, 0.0005284881
40.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.0768811007330323, 4.332263859339059, 6.409144960072091, 2.060736140660941, 4.332263859339059, 6.393, 6.4091448266699595, 2.0768811007330323, 4.332263859339059, 6.409144960072091, 2.060736140660941, 4.332263859339059, 6.393, 6.4091448266699595, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.00000225146627, 3.4889266, -1.5148909, 1.6478933, 0.16618891, 1.6989195, -3.4031124, 1.3691837, -0.9319374, 0.0023379265, -0.00057418586, 0.0014218763, -0.0019426423, 0.0013319105, -0.00021337857, 0.00088314526, -0.0010195931, -0.008212922, -0.0016967083, -0.0073820865, 0.003979411, -0.008158913, -0.001713744, -0.0073516634, 0.0039316444, -0.0058749956, -0.0022708941, -0.00596021, 0.0020367687, -0.0068270024, -0.0019271226, -0.006468518, 0.0029120513
50.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.0614797656127477, 5.5801103390355635, 6.641590104648311, 1.0398896609644366, 5.5801103390355635, 6.62, 6.641590037947244, 1.0614797656127477, 5.5801103390355635, 6.641590104648311, 1.0398896609644366, 5.5801103390355635, 6.62, 6.641590037947244, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0000002530119, 3.7535934, -1.582127, 1.4102155, 0.17260043, 1.2007837, -3.8923912, 1.0386887, -0.9693423, 0.002345628, -0.00064422784, 0.0010142336, -0.002210957, 0.0012883684, -0.00028331834, 0.0006111134, -0.0011690608, -0.0120885465, -0.0019517316, -0.0092654815, 0.008005815, -0.012030901, -0.001969908, -0.009242352, 0.0079499725, -0.009742918, -0.0025959595, -0.008251248, 0.0057948576, -0.010742533, -0.0022532262, -0.008631239, 0.0067809117
60.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.2571022942326307, 5.828826875184817, 6.085929169417448, 0.23317312481518293, 5.828826875184817, 6.062, 6.085931203799964, 0.2571022942326307, 5.828826875184817, 6.085929169417448, 0.23317312481518293, 5.828826875184817, 6.062, 6.085931203799964, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.000001669652114, 3.7545028, -1.5063564, 1.0887914, 0.06259225, 0.57270837, -4.004673, 0.5986021, -0.9116249, 0.0022112746, -0.00070156646, 0.000498062, -0.0022658026, 0.001180985, -0.00036648184, 0.0002731094, -0.0012060041, -0.016752314, -0.0018915397, -0.010014277, 0.01356216, -0.0166951, -0.0019092317, -0.010000993, 0.013503767, -0.014541039, -0.0025931061, -0.009516215, 0.011296357, -0.015514116, -0.0022757135, -0.009727883, 0.012297763
70.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.8206989094064334e-05, 8.154360078837238, 8.154378285826331, -0.03336007883723724, 8.154360078837238, 8.121, 8.154345671406958, 1.8206989094064334e-05, 8.154360078837238, 8.154378285826331, -0.03336007883723724, 8.154360078837238, 8.121, 8.154345671406958, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.99999967119774, 4.476896, -1.6459355, 1.0017487, -0.23857985, -0.01548481, -4.769849, 0.1184265, -1.0229349, 0.0025144815, -0.0009178037, -2.4493784e-06, -0.0026767459, 0.0013450049, -0.0004901674, -5.8859587e-07, -0.0014315378, -0.021843305, -0.0022757978, -0.009609401, 0.019747622, -0.021773906, -0.0022996035, -0.009608035, 0.019674268, -0.019328823, -0.0031936015, -0.009611851, 0.017070876, -0.020428902, -0.002789771, -0.009608624, 0.01824273
80.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.0002004789129391842, 10.340507264219681, 10.34070774313262, -0.030507264219680863, 10.340507264219681, 10.31, 10.340702564941262, 0.0002004789129391842, 10.340507264219681, 10.34070774313262, -0.030507264219680863, 10.340507264219681, 10.31, 10.340702564941262, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.99999767274336, 5.2712784, -1.0459503, 1.1313275, -0.25609195, -0.11471182, -5.3728228, -0.055748343, -1.15861, 0.0029652696, -0.0005256408, -2.7418137e-06, -0.0030114986, 0.0015871115, -0.0002804955, -6.3469633e-07, -0.0016117077, -0.029072315, -0.002142369, -0.007158177, 0.028258622, -0.0289893, -0.0021546334, -0.0071558403, 0.02817474, -0.026107045, -0.0026680098, -0.007160919, 0.025247123, -0.027402189, -0.002435129, -0.007156475, 0.026563032
90.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.0001356050749813905, 8.918996554768992, 8.919132159843972, -0.027996554768991544, 8.918996554768992, 8.891, 8.919132091335335, 0.0001356050749813905, 8.918996554768992, 8.919132159843972, -0.027996554768991544, 8.918996554768992, 8.891, 8.919132091335335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.00000250447816, 4.9906607, -0.10106762, 1.0708921, -0.039765537, -0.10106783, -4.9906607, -0.039765585, -1.0708921, 0.0027979389, -2.100016e-06, -2.1001324e-06, -0.0027979389, 0.0014969036, -6.140908e-07, -6.140908e-07, -0.0014969036, -0.038587034, -0.0010835975, -0.0010835959, 0.038587034, -0.038509857, -0.0010797299, -0.0010797282, 0.038509857, -0.035789095, -0.0010856976, -0.001085696, 0.035789095, -0.037012953, -0.001080344, -0.0010803423, 0.037012953
100.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.00011725099668330532, 6.1700263071301595, 6.170143558126843, -0.019026307130159736, 6.1700263071301595, 6.151, 6.170144234615048, 0.00011725099668330532, 6.1700263071301595, 6.170143558126843, -0.019026307130159736, 6.1700263071301595, 6.151, 6.170144234615048, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0000005060238, 4.1019263, 0.63176143, 0.8850048, 0.109866545, -0.09012854, -4.149313, -0.04548207, -0.8906377, 0.0022929423, 0.00040228415, -1.9930303e-06, -0.0023279637, 0.0012266636, 0.00021573578, -5.49946e-07, -0.0012454875, -0.048403896, -0.00063124934, 0.0077835904, 0.04777815, -0.04834156, -0.00061729, 0.007786513, 0.047714334, -0.046110954, -0.0002289652, 0.0077815973, 0.045450184, -0.047114898, -0.0004015542, 0.007785963, 0.046468846
