deltatheta,Rf,L,L/Rf,phiCZ [deg],G0,GI/G0,GII/G0,GTOT/G0,GIv2/G0,GIIv2/G0,GTOTv2/G0,GTOTequiv/G0,GI,GII,GTOT,GIv2,GIIv2,GTOTv2,GTOTequiv,np.min(uR),np.max(uR),np.mean(uR),np.min(uTheta),np.max(uTheta),np.mean(uTheta),phiSZ [deg],xRFcracktip,yRFcracktip,xRFfirstbounded,yRFfirstbounded,rRFcracktip,thetaRFcracktip,rRFfirstbounded,thetaRFfirstbounded,xcracktipDisplacement,ycracktipDisplacement,rcracktipDisplacement,thetacracktipDisplacement,xfirstboundedDisplacement,yfirstboundedDisplacement,rfirstboundedDisplacement,thetafirstboundedDisplacement,xfiberCracktipDisplacement,yfiberCracktipDisplacement,rfiberCracktipDisplacement,thetafiberCracktipDisplacement,xfiberFirstboundedDisplacement,yfiberFirstboundedDisplacement,rfiberFirstboundedDisplacement,thetafiberFirstboundedDisplacement,xmatrixracktipDisplacement,ymatrixCracktipDisplacement,rmatrixCracktipDisplacement,thetamatrixCracktipDisplacement,xmatrixFirstboundedDisplacement,ymatrixFirstboundedDisplacement,rmatrixFirstboundedDisplacement,thetamatrixFirstboundedDisplacement
10.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.6609285678824723, 0.7571748944699117, 4.418103462352384, 3.6578251055300885, 0.7571748944699117, 4.415, 4.418104662971574, 3.6609285678824723, 0.7571748944699117, 4.418103462352384, 3.6578251055300885, 0.7571748944699117, 4.415, 4.418104662971574, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.000000562866568, 2.4902887, -0.94285697, 1.7677141, -0.28091845, 2.2887301, -1.3609669, 1.6920775, -0.583611, 0.0020023389, -0.00045845628, 0.0018923085, -0.00079919386, 0.0012676725, -0.00018333958, 0.001216577, -0.00040068326, 0.0018291989, -0.00060053467, 0.0016971275, -0.00090904825, 0.0018689435, -0.00061082403, 0.0017344815, -0.00092608284, 0.0038315377, -0.001058991, 0.003589436, -0.0017082421, 0.003136616, -0.0007941636, 0.0029510586, -0.0013267661
20.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.984840684316807, 1.7566096618893, 5.741450346206107, 3.9783903381107004, 1.7566096618893, 5.735, 5.741450079401843, 3.984840684316807, 1.7566096618893, 5.741450346206107, 3.9783903381107004, 1.7566096618893, 5.735, 5.741450079401843, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.000001125733135, 2.9601164, -1.1736403, 1.9410806, -0.094632514, 2.3801908, -2.1152806, 1.7916528, -0.7528142, 0.0022740203, -0.0004768807, 0.0019737773, -0.001225882, 0.0013984966, -0.00015930703, 0.0012596706, -0.00062801375, -0.0012926462, -0.0010108463, -0.0015604198, -0.0005077738, -0.001245809, -0.0010234128, -0.0015207053, -0.00053560163, 0.0009813742, -0.001487727, 0.00041335745, -0.0017336558, 0.00015268759, -0.0011827198, -0.00026103464, -0.0011636154
30.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.3666317248024904, 2.9721344057728345, 6.3387661305753245, 3.355865594227166, 2.9721344057728345, 6.328, 6.3387661305753245, 3.3666317248024904, 2.9721344057728345, 6.3387661305753245, 3.355865594227166, 2.9721344057728345, 6.328, 6.3387661305753245, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000000834826057, 3.2806613, -1.3243307, 1.8887155, 0.08946222, 2.1789706, -2.7872348, 1.6804067, -0.8668812, 0.0023712055, -0.00048127456, 0.0018128867, -0.0016023988, 0.001408329, -0.00014740706, 0.0011459454, -0.00083182275, -0.0051980847, -0.0012685119, -0.005135929, 0.001500479, -0.0051468103, -0.0012826163, -0.0050985767, 0.0014626269, -0.0028268793, -0.0017497864, -0.0033230425, -0.00010191987, -0.0037384813, -0.0014300233, -0.0039526313, 0.0006308041
40.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.5922190070126265, 4.71681444858562, 7.309033455598247, 2.5741855514143808, 4.71681444858562, 7.291, 7.3090339892067755, 2.5922190070126265, 4.71681444858562, 7.309033455598247, 2.5741855514143808, 4.71681444858562, 7.291, 7.3090339892067755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.00000225146627, 3.7351007, -1.4944657, 1.798892, 0.21983984, 1.9006292, -3.5457036, 1.5193416, -0.98789847, 0.0025193994, -0.00053067715, 0.0015888587, -0.002025961, 0.0014410364, -0.00017688994, 0.0009901952, -0.001061786, -0.008331866, -0.0016794871, -0.0074621327, 0.0040690587, -0.008274058, -0.0016956375, -0.0074282307, 0.004019528, -0.0058124666, -0.0022101642, -0.005873274, 0.0020430977, -0.0068330215, -0.0018725274, -0.0064380355, 0.0029577422
50.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.4997555956742104, 6.322090330438444, 7.821845926112655, 1.4749096695615558, 6.322090330438444, 7.797, 7.82184565930839, 1.4997555956742104, 6.322090330438444, 7.821845926112655, 1.4749096695615558, 6.322090330438444, 7.797, 7.82184565930839, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0000002530119, 4.08939, -1.5621084, 1.5853884, 0.25529888, 1.4319648, -4.1367583, 1.2146385, -1.050375, 0.0025770385, -0.00058790913, 0.0012061242, -0.0023520263, 0.0014225012, -0.00023663929, 0.00073309056, -0.0012418083, -0.012342689, -0.0019328851, -0.009414404, 0.008212613, -0.012279935, -0.001950002, -0.009387179, 0.008153539, -0.00976565, -0.0025207943, -0.0082082795, 0.0058605867, -0.010857434, -0.0021866413, -0.008654089, 0.006911731
60.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.6997694223322024, 6.940073573545033, 7.639842995877235, 0.6719264264549674, 6.940073573545033, 7.612, 7.639842462268707, 0.6997694223322024, 6.940073573545033, 7.639842995877235, 0.6719264264549674, 6.940073573545033, 7.612, 7.639842462268707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.000001669652114, 4.2540064, -1.343158, 1.3436418, 0.25579765, 0.963794, -4.3556566, 0.8933481, -1.0357292, 0.0025496576, -0.00052255124, 0.0008222861, -0.002469344, 0.001374742, -0.0002394428, 0.00048000738, -0.0013102833, -0.01790866, -0.0017021921, -0.0104284715, 0.01465826, -0.017844103, -0.0017162112, -0.0104083335, 0.014595342, -0.015359003, -0.0022247434, -0.009606185, 0.012188916, -0.016469361, -0.001955654, -0.009928326, 0.013285059
70.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.04246191119424401, 11.685547602609732, 11.728009513803977, -0.005547602609732749, 11.685547602609732, 11.68, 11.728005766037823, 0.04246191119424401, 11.685547602609732, 11.728009513803977, -0.005547602609732749, 11.685547602609732, 11.68, 11.728005766037823, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.99999967119774, 5.4257913, -1.7464315, 1.2907344, -0.016327368, 0.21462119, -5.695891, 0.42611447, -1.2184778, 0.0030926298, -0.00089808204, 0.00021382049, -0.0032132845, 0.0016364753, -0.00052515324, 6.622542e-05, -0.0017173961, -0.024264833, -0.0020871968, -0.010260385, 0.022087622, -0.024182225, -0.0021063455, -0.010250126, 0.022003444, -0.021172203, -0.0029852788, -0.010046565, 0.018874338, -0.02254575, -0.0026314987, -0.010183901, 0.020286048
80.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.773793754714654e-05, 17.055371891747942, 17.05541962968549, -0.07537189174794179, 17.055371891747942, 16.98, 17.055315329243875, 4.773793754714654e-05, 17.055371891747942, 17.05541962968549, -0.07537189174794179, 17.055371891747942, 16.98, 17.055315329243875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.99999767274336, 6.789088, -1.2152697, 1.4891871, -0.08040465, -0.01789403, -6.8969755, 0.17941158, -1.4805251, 0.003812082, -0.00067575125, -3.523659e-06, -0.0038715135, 0.0020389557, -0.00036035117, -8.158386e-07, -0.0020705536, -0.035692755, -0.0011500443, -0.007330556, 0.0349508, -0.03558823, -0.0011645622, -0.0073267026, 0.03484534, -0.031880673, -0.0018257955, -0.0073340796, 0.031079287, -0.033549275, -0.0015249134, -0.0073275184, 0.032774787
90.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.00018139843462739773, 14.863190661120614, 14.86337205955524, -0.08319066112061435, 14.863190661120614, 14.78, 14.863372088020443, 0.00018139843462739773, 14.863190661120614, 14.86337205955524, -0.08319066112061435, 14.863190661120614, 14.78, 14.863372088020443, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.00000250447816, 6.4367404, 0.037519753, 1.367583, 0.2668255, 0.03751947, -6.4367404, 0.26682544, -1.367583, 0.0036187097, 1.4089092e-05, 1.4088946e-05, -0.0036187097, 0.0019366033, -7.9447636e-07, -7.945637e-07, -0.0019366033, -0.04577463, 0.0002148149, 0.0002148169, 0.04577463, -0.045678332, 0.00022023087, 0.00022023286, 0.045678332, -0.04215592, 0.000228904, 0.00022890585, 0.04215592, -0.04374173, 0.00021943639, 0.0002194383, 0.04374173
100.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.000294315262475169, 21.01744189931069, 21.017736214573166, -0.06744189931069045, 21.01744189931069, 20.95, 21.017710838009258, 0.000294315262475169, 21.01744189931069, 21.017736214573166, -0.06744189931069045, 21.01744189931069, 20.95, 21.017710838009258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0000005060238, 7.564877, 1.1976169, 1.6210299, 0.26560134, -0.13420486, -7.657913, -0.019922644, -1.642524, 0.004232399, 0.0007425521, -3.6768615e-06, -0.004297048, 0.0022641122, 0.0003981937, -1.0151416e-06, -0.0022988617, -0.07763933, -0.00011106992, 0.013372546, 0.0764791, -0.07752484, -8.652094e-05, 0.013376842, 0.07636209, -0.07340693, 0.00063148217, 0.013368869, 0.07218205, -0.07526073, 0.00031167275, 0.013375827, 0.07406323
