deltatheta,Rf,L,L/Rf,phiCZ [deg],G0,GI/G0,GII/G0,GTOT/G0,GIv2/G0,GIIv2/G0,GTOTv2/G0,GTOTequiv/G0,GI,GII,GTOT,GIv2,GIIv2,GTOTv2,GTOTequiv,np.min(uR),np.max(uR),np.mean(uR),np.min(uTheta),np.max(uTheta),np.mean(uTheta),phiSZ [deg],xRFcracktip,yRFcracktip,xRFfirstbounded,yRFfirstbounded,rRFcracktip,thetaRFcracktip,rRFfirstbounded,thetaRFfirstbounded,xcracktipDisplacement,ycracktipDisplacement,rcracktipDisplacement,thetacracktipDisplacement,xfirstboundedDisplacement,yfirstboundedDisplacement,rfirstboundedDisplacement,thetafirstboundedDisplacement,xfiberCracktipDisplacement,yfiberCracktipDisplacement,rfiberCracktipDisplacement,thetafiberCracktipDisplacement,xfiberFirstboundedDisplacement,yfiberFirstboundedDisplacement,rfiberFirstboundedDisplacement,thetafiberFirstboundedDisplacement,xmatrixracktipDisplacement,ymatrixCracktipDisplacement,rmatrixCracktipDisplacement,thetamatrixCracktipDisplacement,xmatrixFirstboundedDisplacement,ymatrixFirstboundedDisplacement,rmatrixFirstboundedDisplacement,thetamatrixFirstboundedDisplacement
10.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.662265790855914, 0.7561264204116751, 4.418392211267589, 3.6588735795883247, 0.7561264204116751, 4.415, 4.418392277968655, 3.662265790855914, 0.7561264204116751, 4.418392211267589, 3.6588735795883247, 0.7561264204116751, 4.415, 4.418392277968655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.000000562866568, 2.4905415, -0.94178563, 1.7679633, -0.28075135, 2.289165, -1.3599558, 1.6923519, -0.5834897, 0.0020025712, -0.00045782496, 0.0018926471, -0.0007986124, 0.0012678518, -0.00018299016, 0.0012168144, -0.00040037034, 0.0018313976, -0.00060393155, 0.0016987029, -0.00091277534, 0.0018711449, -0.00061421824, 0.00173606, -0.0009298078, 0.003833969, -0.0010617565, 0.00359135, -0.0017113878, 0.0031389967, -0.0007972084, 0.0029528744, -0.0013301781
20.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.961304279323766, 1.7674537878158851, 5.728758067139651, 3.9545462121841153, 1.7674537878158851, 5.722, 5.728757666933254, 3.961304279323766, 1.7674537878158851, 5.728758067139651, 3.9545462121841153, 1.7674537878158851, 5.722, 5.728757666933254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.000001125733135, 2.9557924, -1.1827592, 1.9367819, -0.096801095, 2.373009, -2.1223707, 1.7868718, -0.7533817, 0.0022698485, -0.00048253394, 0.0019679235, -0.0012297675, 0.0013955616, -0.0001626811, 0.0012557588, -0.00063018035, -0.0013092598, -0.0010270008, -0.0015815567, -0.00051727187, -0.0012624974, -0.0010397375, -0.0015419706, -0.00054523407, 0.00096058863, -0.0015095348, 0.00038636674, -0.0017470394, 0.00013306423, -0.0012024186, -0.0002862119, -0.0011754144
30.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.2599591110057005, 2.9965475295788697, 6.25650664058457, 3.2484524704211304, 2.9965475295788697, 6.245, 6.25650664058457, 3.2599591110057005, 2.9965475295788697, 6.25650664058457, 3.2484524704211304, 2.9965475295788697, 6.245, 6.25650664058457, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000000834826057, 3.2566066, -1.3534647, 1.8665514, 0.07872928, 2.1435716, -2.800438, 1.6558456, -0.8650941, 0.002349525, -0.00050177786, 0.0017838592, -0.0016093149, 0.0013938465, -0.00016053475, 0.0011268393, -0.00083595037, -0.005207016, -0.0013168224, -0.005167819, 0.0014631065, -0.0051561217, -0.0013314779, -0.0051310714, 0.0014249672, -0.0028574911, -0.0018186002, -0.0033839599, -0.00014620845, -0.0037622752, -0.0014920126, -0.004004232, 0.0005890168
40.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.456558109882951, 4.73702540522651, 7.193583515109461, 2.43897459477349, 4.73702540522651, 7.176, 7.19358404871799, 2.456558109882951, 4.73702540522651, 7.193583515109461, 2.43897459477349, 4.73702540522651, 7.176, 7.19358404871799, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.00000225146627, 3.7020247, -1.5350974, 1.7682914, 0.20014103, 1.8491738, -3.5555687, 1.4832379, -0.98331887, 0.0024900888, -0.00056152244, 0.001546579, -0.0020307493, 0.0014218609, -0.00019713026, 0.00096249534, -0.0010649653, -0.0083325505, -0.0017437761, -0.0075039817, 0.0040202504, -0.00827524, -0.0017606877, -0.0074709496, 0.003970457, -0.0058424617, -0.0023052986, -0.0059574028, 0.001989501, -0.006853379, -0.001957818, -0.006508454, 0.0029054915
50.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.3157905868779993, 6.321824593391049, 7.637615180269048, 1.2911754066089518, 6.321824593391049, 7.613, 7.637615713877577, 1.3157905868779993, 6.321824593391049, 7.637615180269048, 1.2911754066089518, 6.321824593391049, 7.613, 7.637615713877577, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0000002530119, 4.032348, -1.6359428, 1.5343065, 0.21189362, 1.3387386, -4.1405215, 1.1485531, -1.0391444, 0.0025283005, -0.00064714183, 0.0011294214, -0.0023527653, 0.0013914779, -0.00027596508, 0.00068302266, -0.0012433208, -0.012362377, -0.0020472736, -0.009514686, 0.008154168, -0.012300446, -0.002065763, -0.009489041, 0.008094841, -0.009834076, -0.0026944154, -0.008385264, 0.0058014025, -0.010908968, -0.0023417282, -0.008806018, 0.00685152
60.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.4782841967333412, 6.945699408265302, 7.423983604998643, 0.45030059173469805, 6.945699408265302, 7.396, 7.423984472112503, 0.4782841967333412, 6.945699408265302, 7.423983604998643, 0.45030059173469805, 6.945699408265302, 7.396, 7.423984472112503, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.000001669652114, 4.1749926, -1.4980552, 1.2643503, 0.15953583, 0.79014206, -4.3646774, 0.77033716, -1.0151916, 0.0024804082, -0.0006475232, 0.0006794324, -0.0024718577, 0.001331076, -0.00032193656, 0.00038673356, -0.0013137134, -0.017828077, -0.0019245408, -0.010580739, 0.014477298, -0.017764568, -0.001941323, -0.010563519, 0.014413906, -0.015347669, -0.002572064, -0.009901307, 0.01200544, -0.016433492, -0.0022632596, -0.010176785, 0.013100193
70.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.0013342455264376098, 11.4531642899218, 11.454498535448238, -0.06316428992179901, 11.4531642899218, 11.39, 11.454499378461126, 0.0013342455264376098, 11.4531642899218, 11.454498535448238, -0.06316428992179901, 11.4531642899218, 11.39, 11.454499378461126, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.99999967119774, 5.3246217, -1.883478, 1.2165173, -0.16039096, 0.051237464, -5.647695, 0.26535523, -1.1980093, 0.0030036978, -0.0010410363, 4.9071386e-05, -0.0031786077, 0.001598116, -0.00058241095, -6.9942325e-07, -0.001700934, -0.024162346, -0.0023930056, -0.010512699, 0.021886723, -0.024081022, -0.0024175681, -0.010507965, 0.021801902, -0.021158649, -0.003434042, -0.010463628, 0.018708115, -0.022482906, -0.002999979, -0.010508665, 0.020100968
80.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.00022131737796783418, 15.54362050953963, 15.543841826917598, -0.05362050953963049, 15.54362050953963, 15.49, 15.543840356253542, 0.00022131737796783418, 15.54362050953963, 15.543841826917598, -0.05362050953963049, 15.54362050953963, 15.49, 15.543840356253542, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.99999767274336, 6.467672, -1.2543745, 1.3964705, -0.25810593, -0.11221802, -6.587233, -0.011690095, -1.4200746, 0.0036357008, -0.00064448477, -3.3611432e-06, -0.003692381, 0.0019459128, -0.00034390693, -7.7765435e-07, -0.0019760653, -0.03435234, -0.0019678366, -0.007903163, 0.03348874, -0.034250826, -0.0019824118, -0.00789989, 0.033386234, -0.030716639, -0.0026123214, -0.007906524, 0.029796358, -0.032304913, -0.0023263188, -0.007900667, 0.03141017
90.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.00012573490492950344, 12.645030165654909, 12.645155900559837, -0.04503016565490903, 12.645030165654909, 12.6, 12.645156097267732, 0.00012573490492950344, 12.645030165654909, 12.645155900559837, -0.04503016565490903, 12.645030165654909, 12.6, 12.645156097267732, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.00000250447816, 5.942512, -0.0910254, 1.2758447, 0.011158534, -0.09102566, -5.942512, 0.011158478, -1.2758447, 0.0033312216, -2.5003392e-06, -2.5004847e-06, -0.0033312216, 0.0017822832, -7.3114643e-07, -7.3123374e-07, -0.0017822832, -0.04513769, -0.00048523096, -0.000485229, 0.04513769, -0.045045976, -0.00048058308, -0.0004805811, 0.045045976, -0.041806467, -0.0004877313, -0.00048772947, 0.041806467, -0.043263692, -0.00048131423, -0.00048131234, 0.043263692
100.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.00021926770436224432, 13.420130704838535, 13.420349972542898, -0.04013070483853376, 13.420130704838535, 13.38, 13.420343081033039, 0.00021926770436224432, 13.420130704838535, 13.420349972542898, -0.04013070483853376, 13.420130704838535, 13.38, 13.420343081033039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0000005060238, 6.0471034, 0.9451686, 1.3000388, 0.1887876, -0.11925924, -6.119361, -0.03982991, -1.3130709, 0.0033818036, 0.00059331977, -2.9383227e-06, -0.0034334585, 0.0018091351, 0.00031817687, -8.1025064e-07, -0.001836896, -0.06590298, -0.0003538688, 0.011095441, 0.064963214, -0.06581126, -0.00033390967, 0.01109917, 0.06486942, -0.062521175, 0.00023945101, 0.011092503, 0.061529756, -0.06400213, -1.5732812e-05, 0.01109836, 0.06303252
