deltatheta [deg],Rf,L,L/Rf,phiCZ [deg],G0,GI/G0,GII/G0,GTOT/G0,GIv2/G0,GIIv2/G0,GTOTv2/G0,GTOTequiv/G0,GI,GII,GTOT,GIv2,GIIv2,GTOTv2,GTOTequiv,np.min(uR),np.max(uR),np.mean(uR),np.min(uTheta),np.max(uTheta),np.mean(uTheta),phiSZ [deg],xRFcracktip,yRFcracktip,xRFfirstbounded,yRFfirstbounded,rRFcracktip,thetaRFcracktip,rRFfirstbounded,thetaRFfirstbounded,xcracktipDisplacement,ycracktipDisplacement,rcracktipDisplacement,thetacracktipDisplacement,xfirstboundedDisplacement,yfirstboundedDisplacement,rfirstboundedDisplacement,thetafirstboundedDisplacement,xfiberCracktipDisplacement,yfiberCracktipDisplacement,rfiberCracktipDisplacement,thetafiberCracktipDisplacement,xfiberFirstboundedDisplacement,yfiberFirstboundedDisplacement,rfiberFirstboundedDisplacement,thetafiberFirstboundedDisplacement,xmatrixracktipDisplacement,ymatrixCracktipDisplacement,rmatrixCracktipDisplacement,thetamatrixCracktipDisplacement,xmatrixFirstboundedDisplacement,ymatrixFirstboundedDisplacement,rmatrixFirstboundedDisplacement,thetamatrixFirstboundedDisplacement
10.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.719494771972687, 0.7561458971229802, 4.475640669095667, 3.71585410287702, 0.7561458971229802, 4.472, 4.475641002600998, 3.719494771972687, 0.7561458971229802, 4.475640669095667, 3.71585410287702, 0.7561458971229802, 4.472, 4.475641002600998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.000000562866568, 2.5080867, -0.9380042, 1.780872, -0.28060552, 2.3071003, -1.3592786, 1.7050898, -0.5855877, 0.0020170792, -0.00045518478, 0.001907393, -0.0007985317, 0.0012772882, -0.00018105691, 0.0012264431, -0.00040010503, 0.0012597879, -0.0005746991, 0.0011408535, -0.000784728, 0.0012998141, -0.00058481295, 0.0011785151, -0.0008016387, 0.003276867, -0.0010298839, 0.0030482465, -0.0015832597, 0.0025771023, -0.00076586986, 0.0024049582, -0.0012017437
20.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.396924673242188, 1.7626015520603995, 6.159526225302587, 4.3903984479396, 1.7626015520603995, 6.153, 6.159526492106852, 4.396924673242188, 1.7626015520603995, 6.159526225302587, 4.3903984479396, 1.7626015520603995, 6.153, 6.159526492106852, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.000001125733135, 3.0736663, -1.1312541, 2.0273857, -0.07962341, 2.50139, -2.114287, 1.8778867, -0.7682283, 0.0023680818, -0.00044395577, 0.0020734272, -0.0012271137, 0.0014593309, -0.00013632281, 0.0013246973, -0.0006272221, -0.0031636723, -0.0008731104, -0.0032715008, 0.0002615843, -0.0031151124, -0.00088462606, -0.003229808, 0.0002341547, -0.00079559046, -0.0013170661, -0.0011980736, -0.00096552935, -0.0016557815, -0.0010209489, -0.0019051108, -0.00039306743
30.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.632752962592745, 3.378856429395491, 8.011609391988236, 4.620143570604508, 3.378856429395491, 7.999, 8.011611259618087, 4.632752962592745, 3.378856429395491, 8.011609391988236, 4.620143570604508, 3.378856429395491, 7.999, 8.011611259618087, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000000834826057, 3.6975913, -1.2858695, 2.1729944, 0.15442418, 2.5592732, -2.9623914, 1.9590803, -0.95276195, 0.0026954273, -0.00041449186, 0.002127062, -0.001706674, 0.0016094395, -9.050162e-05, 0.0013485644, -0.00088309636, -0.008824236, -0.0010422494, -0.008163136, 0.0035095033, -0.008766705, -0.0010546914, -0.008119535, 0.003469963, -0.0061288085, -0.0014567412, -0.0060360744, 0.0018028293, -0.0071572657, -0.001145193, -0.0067709703, 0.0025868667
40.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.3645357027545755, 5.565357664036864, 9.92989336679144, 4.343642335963136, 5.565357664036864, 9.909, 9.929891232357324, 4.3645357027545755, 5.565357664036864, 9.92989336679144, 4.343642335963136, 5.565357664036864, 9.909, 9.929891232357324, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.00000225146627, 4.360103, -1.3472733, 2.207951, 0.38761938, 2.4740222, -3.8346915, 1.9405456, -1.12231, 0.0029927054, -0.00035735313, 0.002062844, -0.002197422, 0.0017295107, -4.5668567e-05, 0.0012955274, -0.0011466928, -0.015753765, -0.001125303, -0.012791415, 0.009264293, -0.015687028, -0.0011375445, -0.01274816, 0.009212018, -0.012761059, -0.0014826561, -0.010728571, 0.007066871, -0.013957517, -0.0011832131, -0.011452633, 0.008065325
50.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.31410383482539, 7.640049502377923, 10.954153337203312, 3.2799504976220772, 7.640049502377923, 10.92, 10.954151736377726, 3.31410383482539, 7.640049502377923, 10.954153337203312, 3.2799504976220772, 7.640049502377923, 10.92, 10.954151736377726, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0000002530119, 4.8439894, -1.2652197, 2.0547166, 0.54661715, 2.144442, -4.5239787, 1.7394794, -1.2226454, 0.0031311158, -0.00028392184, 0.0017951475, -0.0025810758, 0.0017535035, -1.9516447e-05, 0.0011121789, -0.0013558064, -0.023519259, -0.001115374, -0.015972316, 0.01729985, -0.023446226, -0.0011259912, -0.015933502, 0.017237078, -0.020388143, -0.0013992959, -0.014177169, 0.014718774, -0.021692723, -0.0011455077, -0.014821324, 0.015881272
60.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.1235707797953585, 7.788144011839666, 9.911714791635024, 2.092855988160334, 7.788144011839666, 9.881, 9.911720794730975, 2.1235707797953585, 7.788144011839666, 9.911714791635024, 2.092855988160334, 7.788144011839666, 9.881, 9.911720794730975, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.000001669652114, 4.8246617, -0.81458795, 1.737473, 0.65095115, 1.7068768, -4.5855737, 1.4324768, -1.1792203, 0.0029782709, -6.1950355e-05, 0.0014354847, -0.0026102308, 0.0016307328, 7.1050425e-05, 0.000876897, -0.0013767313, -0.027532421, -0.0009034081, -0.014548584, 0.023392072, -0.027460622, -0.00090786925, -0.014516547, 0.023327664, -0.02455415, -0.00096535846, -0.013113099, 0.020781841, -0.025829889, -0.0008368188, -0.01363965, 0.021950932
70.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.2824688609354906, 13.51405541087973, 15.796524271815219, 2.225944589120271, 13.51405541087973, 15.74, 15.796511465210527, 2.2824688609354906, 13.51405541087973, 15.796524271815219, 2.225944589120271, 13.51405541087973, 15.74, 15.796511465210527, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.99999967119774, 6.296706, -0.42164746, 1.9294238, 0.9374146, 1.7573814, -6.06118, 1.5407834, -1.4924506, 0.0037433393, 0.00021851918, 0.0014856383, -0.0034428537, 0.0020165257, 0.00021421889, 0.0008909926, -0.0018216483, -0.048222154, -0.0005420099, -0.017002271, 0.045128625, -0.04813001, -0.00053882523, -0.016967764, 0.045043126, -0.044478815, -0.0003234907, -0.015516633, 0.04168577, -0.046113484, -0.00032460634, -0.016076772, 0.043221477
80.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.4631980753587748, 16.446694247776964, 17.90989232313574, 1.3933057522230357, 16.446694247776964, 17.84, 17.909902194893526, 1.4631980753587748, 16.446694247776964, 17.90989232313574, 1.3933057522230357, 16.446694247776964, 17.84, 17.909902194893526, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.99999767274336, 6.847805, 0.20461899, 1.7848076, 1.017524, 1.3906195, -6.70824, 1.3119942, -1.581001, 0.0039516054, 0.0005086956, 0.0011871578, -0.0038032345, 0.002107732, 0.00032713744, 0.00068817195, -0.0020189025, -0.064746715, -4.418122e-05, -0.011286663, 0.06375539, -0.06464778, -3.155868e-05, -0.0112570515, 0.06366015, -0.06079511, 0.0004645144, -0.010099505, 0.05995216, -0.06254005, 0.00029557876, -0.01056888, 0.06164125
90.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.031220515802295595, 10.702392030788113, 10.73361254659041, -0.012392030788113573, 10.702392030788113, 10.69, 10.733612398597419, 0.031220515802295595, 10.702392030788113, 10.73361254659041, -0.012392030788113573, 10.702392030788113, 10.69, 10.733612398597419, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.00000250447816, 5.451828, 0.1840317, 1.158727, 0.39414376, 0.18403146, -5.451828, 0.3941437, -1.158727, 0.0030767694, 0.00018578958, 0.00018578945, -0.0030767694, 0.0016442016, 5.1501534e-05, 5.150146e-05, -0.0016442016, -0.06594935, -0.00014138, -0.00014137712, 0.06594935, -0.06587066, -0.00013217438, -0.0001321715, 0.06587066, -0.06287258, 4.4409582e-05, 4.441233e-05, 0.06287258, -0.064226456, -8.067284e-05, -8.0670034e-05, 0.064226456
100.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.936590929529675e-05, 12.526551996764576, 12.52660136267387, -0.05655199676457556, 12.526551996764576, 12.47, 12.52649543426051, 4.936590929529675e-05, 12.526551996764576, 12.52660136267387, -0.05655199676457556, 12.526551996764576, 12.47, 12.52649543426051, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0000005060238, 5.8220367, 1.013109, 1.2164708, 0.37528375, -0.01326865, -5.9095116, 0.15834436, -1.2631572, 0.0032702312, 0.0005737443, -2.8423965e-06, -0.0033201799, 0.0017483309, 0.0003074833, -7.8231096e-07, -0.0017751679, -0.09374792, 0.00036427242, 0.016637895, 0.09226042, -0.09366116, 0.00038226764, 0.01664055, 0.092171855, -0.09047769, 0.00093801675, 0.016635053, 0.08894024, -0.09191283, 0.00068975094, 0.016639767, 0.09039669
