angle    Normangle    Sxx    Syy    Szz    Sxy    Szx    Syz    Srr    Stt    Srt    S13D   S23D    S33D    S12D    S22D    Smises3D    Smises2D    Saverage3D    Saverage2D    I13D    I23D    I33D    I12D    I22D
36.000000    0.200000    162.922000    1.923760    65.938300    -11.677600    0.000000    0.000000    96.192419    68.653341    -80.167789    163.764595    65.938300    65.938300    163.764595    1.081165    141.849094    163.226699    76.928020    82.422880    230.784060    11046.705662    11674.803622    164.845760    177.056485
37.800000    0.210000    155.119000    -2.141070    61.191300    -7.375650    0.000000    0.000000    88.899529    64.078401    -77.993977    155.464168    61.191300    61.191300    155.464168    -2.486238    137.641805    156.722078    71.389743    76.488965    214.169230    8974.397558    -23651.713304    152.977930    -386.520850
39.600000    0.220000    147.001000    -6.254230    56.298700    -3.176190    0.000000    0.000000    81.612037    59.134733    -75.865488    147.066798    56.298700    56.298700    147.066798    -6.320028    133.580446    150.326485    65.681823    70.373385    197.045470    6994.393933    -52327.741408    140.746770    -929.466247
41.400000    0.230000    139.615000    -9.312730    52.120800    0.753571    0.000000    0.000000    75.231561    55.070709    -73.782248    139.618813    52.120800    52.120800    139.618813    -9.316543    129.638323    144.502511    60.807690    65.151135    182.423070    5490.693886    -67796.895118    130.302270    -1300.764668
43.200000    0.240000    132.088000    -12.395600    47.877100    4.484410    0.000000    0.000000    68.857861    50.834539    -71.817669    132.227051    47.877100    47.877100    132.227051    -12.534651    125.937374    138.919151    55.856500    59.846200    167.569500    4073.105058    -79352.460489    119.692400    -1657.419946
45.000000    0.250000    124.878000    -14.973000    43.962100    7.985020    0.000000    0.000000    62.937520    46.967480    -69.925500    125.332441    43.962100    43.962100    125.332441    -15.427441    122.396067    133.715315    51.289033    54.952500    153.867100    2898.095762    -85003.307010    109.905000    -1933.558838
46.800000    0.260000    117.764000    -17.350800    40.165200    11.256000    0.000000    0.000000    57.198425    43.214775    -68.130861    118.695284    40.165200    40.165200    118.695284    -18.282084    119.050112    128.813051    46.859467    50.206600    140.578400    1863.119113    -87158.369417    100.413200    -2169.997147
48.600000    0.270000    110.520000    -19.703000    36.327000    14.281700    0.000000    0.000000    51.416950    39.400050    -66.388048    112.067891    36.327000    36.327000    112.067891    -21.250891    115.814061    124.065930    42.381333    45.408500    127.144000    917.566644    -86514.294938    90.817000    -2381.542515
50.400000    0.280000    103.560000    -21.622700    32.775100    17.103800    0.000000    0.000000    46.041045    35.896255    -64.687618    105.854836    32.775100    32.775100    105.854836    -23.917536    112.684451    119.620573    38.237467    40.968650    114.712400    153.716415    -82979.565104    81.937300    -2531.786786
52.200000    0.290000    96.094900    -23.855700    28.895700    19.597300    0.000000    0.000000    40.185964    32.053236    -62.964716    99.215486    28.895700    28.895700    99.215486    -26.976286    109.523774    115.099513    33.711633    36.119600    101.134900    -589.063022    -77338.337595    72.239200    -2676.465273
