angle    Normangle    Sxx    Syy    Szz    Sxy    Szx    Syz    Srr    Stt    Srt    S13D   S23D    S33D    S12D    S22D    Smises3D    Smises2D    Saverage3D    Saverage2D    I13D    I23D    I33D    I12D    I22D
0.000000    0.000000    0.000271    -257.535000    -51.507000    -0.000061    0.000000    0.000000    0.000271    -257.535000    -0.000061    0.000271    -51.507000    -51.507000    0.000271    -257.535000    236.034904    257.535135    -103.013910    -128.767365    -309.041729    13264.771582    3.591022    -257.534729    -0.069719
1.799998    0.010000    -0.103439    -53.699800    -21.480400    0.001910    0.000000    0.000000    -0.156199    -53.647040    -1.680764    -0.103439    -21.480400    -21.480400    -0.103439    -53.699800    46.731329    53.648155    -25.094546    -26.901620    -75.283639    1161.269745    -119.316103    -53.803239    5.554650
3.600000    0.020000    -0.229838    -51.550900    -20.661700    1.624760    0.000000    0.000000    -0.228543    -51.552195    -1.604169    -0.178452    -20.661700    -20.661700    -0.178452    -51.602286    44.840239    51.513292    -24.147479    -25.890369    -72.442438    1079.086585    -190.263485    -51.780738    9.208511
5.400000    0.030000    -0.245148    -42.581000    -17.124400    2.700650    0.000000    0.000000    -0.114039    -42.712109    -1.313660    -0.073566    -17.124400    -17.124400    -0.073566    -42.752582    37.209092    42.715847    -19.983516    -21.413074    -59.950548    736.517225    -53.858577    -42.826148    3.145137
7.200000    0.040000    0.172848    -21.955100    -8.880090    2.219720    0.000000    0.000000    0.377275    -22.159527    -0.601515    0.393318    -8.880090    -8.880090    0.393318    -22.175570    19.648417    22.374822    -10.220781    -10.891126    -30.662342    184.706306    77.452607    -21.782252    -8.722052
8.999982    0.050000    -10.805500    27.290700    10.985400    -3.196010    0.000000    0.000000    -10.860843    27.346043    2.846588    27.556962    10.985400    10.985400    27.556962    -11.071762    33.565708    34.453944    9.156867    8.242600    27.470600    -124.007623    -3351.691006    16.485200    -305.104139
8.999982    0.050000    -3.904940    -479.203000    -98.001700    71.894400    0.000000    0.000000    6.680283    -489.788223    -5.061795    6.731886    -98.001700    -98.001700    6.731886    -489.839826    453.370547    493.240224    -193.703213    -241.553970    -581.109640    44047.853615    323165.093105    -483.107940    -3297.545789
10.799982    0.060000    1136.240000    187.508000    73.441400    -18.555200    0.000000    0.000000    1096.097848    227.650152    -191.877687    1136.602762    187.145238    187.145238    1136.602762    187.145238    1011.115778    1055.546960    465.729800    661.874000    1397.189400    309927.700840    15621705.099806    1323.748000    212709.794473
12.599982    0.070000    471.399000    705.188000    736.570000    -57.354300    0.000000    0.000000    458.103922    718.483078    -2.124547    736.570000    718.500412    718.500412    718.500412    458.086588    269.902649    630.040286    637.719000    588.293500    1913.157000    1195774.088874    242431263.259965    1176.587000    329135.402284
14.399982    0.080000    297.963000    261.391000    293.116000    -64.455800    0.000000    0.000000    264.649367    294.704633    -65.292405    346.676462    293.116000    293.116000    346.676462    212.677538    116.822047    302.796975    284.156667    279.677000    852.470000    237685.903443    21611529.553533    559.354000    73730.296379
16.199982    0.090000    330.931000    139.331000    174.918000    -67.732000    0.000000    0.000000    279.725063    190.536937    -108.520198    352.456461    174.918000    174.918000    352.456461    117.805539    211.946684    310.777056    215.060000    235.131000    645.180000    123778.611853    7262826.835461    470.262000    41521.323337
17.999982    0.100000    314.861000    146.949000    191.152000    -62.709900    0.000000    0.000000    261.966939    199.843061    -100.081454    335.695942    191.152000    191.152000    335.695942    126.114058    185.805612    293.701453    217.654000    230.905000    652.962000    130611.882651    8092606.777004    461.810000    42335.977531
19.800000    0.110000    295.565000    122.247000    174.843000    -59.649300    0.000000    0.000000    237.656012    180.155988    -101.199101    314.109713    174.843000    174.843000    314.109713    103.702287    185.374626    277.209633    197.551667    208.906000    592.655000    105625.399081    5695317.622186    417.812000    32573.895565
21.600000    0.120000    279.369000    97.525200    157.236000    -61.021600    0.000000    0.000000    212.954153    163.940047    -106.723156    297.947911    157.236000    157.236000    297.947911    78.946289    192.211902    267.364157    178.043400    188.447100    534.130200    82783.218363    3698486.627498    376.894200    23521.881932
23.400000    0.130000    264.724000    75.397200    141.907000    -58.893200    0.000000    0.000000    191.930861    148.190339    -109.321818    281.548574    141.907000    141.907000    281.548574    58.572626    195.144383    257.311703    160.676067    170.060600    482.028200    64756.618495    2340193.923390    340.121200    16491.039367
25.200000    0.140000    250.661000    55.606800    128.132000    -56.309800    0.000000    0.000000    171.912567    134.355233    -111.039139    265.749746    128.132000    128.132000    265.749746    40.518054    196.652184    247.985842    144.799933    153.133900    434.399800    50010.368268    1379682.133854    306.267800    10767.662519
27.000000    0.150000    236.826000    37.506300    115.267000    -53.603500    0.000000    0.000000    152.378598    121.953702    -112.133859    250.327190    115.267000    115.267000    250.327190    24.005110    197.220272    239.229629    129.866433    137.166150    389.599300    37630.593016    692654.594217    274.332300    6009.131792
28.800000    0.160000    223.823000    20.862100    103.075000    -48.904800    0.000000    0.000000    135.426806    109.258294    -111.887280    234.992278    103.075000    103.075000    234.992278    9.692822    196.064076    230.298900    115.920033    122.342550    347.760100    27498.655028    234777.879938    244.685100    2277.738345
30.600000    0.170000    210.846000    6.533100    92.142500    -44.362000    0.000000    0.000000    119.029078    98.350022    -110.891936    220.062470    92.142500    92.142500    220.062470    -2.683370    193.611949    221.416350    103.173867    108.689550    309.521600    19439.344680    -54410.979347    217.379100    -590.509041
